sample_name,kind,reference,compared_to,R_factor,Pearson,RMSE,MAE,n_pts
mp-13018__mp-13018-EXAFS-Sn-K,xmu,true,pred,1.6261410448470754,-0.25422274857343374,0.02803627725740886,0.019239636879485923,200
mp-14226__mp-14226-EXAFS-Y-K,chi,orig,pred,142212.83918222142,0.0010989623714102044,37.2673138637213,31.03243245430408,200
mp-14226__mp-14226-EXAFS-Y-K,chi,orig,true,,,,,0
mp-14226__mp-14226-EXAFS-Y-K,chi,true,pred,,,,,0
mp-14226__mp-14226-EXAFS-Y-K,xmu,orig,pred,1.0006926563787595,-0.005050872947347394,0.8664126801758721,0.8640735466431857,200
mp-14226__mp-14226-EXAFS-Y-K,xmu,orig,true,,,,,0
mp-14226__mp-14226-EXAFS-Y-K,xmu,true,pred,,,,,0
mp-2114__mp-2114-EXAFS-N-K,chi,orig,pred,841.82200744093,0.08393638663402053,29.44468249722813,24.30083370116097,200
mp-2114__mp-2114-EXAFS-N-K,chi,orig,true,,,,,0
mp-2114__mp-2114-EXAFS-N-K,chi,true,pred,,,,,0
mp-2114__mp-2114-EXAFS-N-K,xmu,orig,pred,1.0070058964295001,0.05843434941323279,0.3342375230911693,0.1948219605084364,200
mp-2114__mp-2114-EXAFS-N-K,xmu,orig,true,,,,,0
mp-2114__mp-2114-EXAFS-N-K,xmu,true,pred,,,,,0
mp-2313__mp-2313-EXAFS-In-K,chi,orig,pred,377579.27532164095,0.1547265094895453,42.67811282907642,35.71470709621158,200
mp-2313__mp-2313-EXAFS-In-K,chi,orig,true,253097.88291118047,0.13481490357111742,34.94180929921114,28.71708802854466,200
mp-2313__mp-2313-EXAFS-In-K,chi,true,pred,0.06616611564034525,0.9799404346587139,8.775251481968777,7.062436835004522,200
mp-2313__mp-2313-EXAFS-In-K,xmu,orig,pred,1.000074578284386,0.03267175581926154,0.9540628850494609,0.9533607447142053,200
mp-2313__mp-2313-EXAFS-In-K,xmu,orig,true,1.0002552301304506,-0.030186996956899616,0.9542421577267904,0.9533229295436597,200
mp-2313__mp-2313-EXAFS-In-K,xmu,true,pred,1.2546842356033092,-0.08883169076978532,0.023477533933913587,0.018245224811469254,200
mp-23926__mp-23926-EXAFS-Hg-K,chi,orig,pred,23829413.935763206,-0.17624989913023809,28.012470929260864,22.821423027547134,200
mp-23926__mp-23926-EXAFS-Hg-K,chi,orig,true,117323782.98369405,-0.15794444654853496,62.15667396676922,46.17381829500191,200
mp-23926__mp-23926-EXAFS-Hg-K,chi,true,pred,0.30940288826085466,0.9952842923154525,33.74901709850008,22.907113382608042,200
mp-23926__mp-23926-EXAFS-Hg-K,xmu,orig,pred,1.0004800624922832,0.1386806166904575,0.955643529587106,0.9542569314381226,200
