mp_id,split,lattice_matched,length_rmse,angle_mae,pred_valid,gt_valid,n_atoms,pred_len_max,pred_len_mean,gt_len_mean,is_ionic,quality_tier,element
1182707,test,False,1.3086624145507812,5.034512996673584,True,True,72,14.603193283081055,10.228092193603516,10.539345741271973,False,C,Fe
1184234,test,False,2.7669851779937744,18.918672561645508,True,True,72,19.16842269897461,11.895710945129395,12.326838493347168,False,C,Ag
1188169,test,False,0.4977055490016937,10.957730293273926,True,True,72,10.420551300048828,9.12252140045166,9.310894966125488,False,A,Fe
1190690,test,False,3.519742488861084,22.849489212036133,True,True,72,15.916520118713379,10.419503211975098,9.506169319152832,False,A,Dy
1190821,test,False,3.246572971343994,9.950955390930176,True,True,60,13.588221549987793,9.474246978759766,11.338261604309082,False,A,Fe
1191264,test,False,4.810442924499512,10.010775566101074,True,True,72,17.005699157714844,10.136259078979492,9.864737510681152,False,A,Cu
1191501,test,False,1.6397929191589355,19.31696128845215,True,True,64,9.722039222717285,8.886727333068848,10.463488578796387,False,A,Fe
1191945,test,True,0.22672352194786072,0.0618947334587574,True,True,60,15.31314468383789,9.774992942810059,9.698317527770996,False,A,Fe
1191971,test,False,4.4825663566589355,6.3043036460876465,True,True,66,11.289145469665527,9.495109558105469,10.26340389251709,False,A,Fe
1192118,test,False,4.9804863929748535,0.5783843994140625,True,True,84,23.63294792175293,12.61657428741455,10.86180591583252,False,A,Fe
1192788,test,False,4.1683149337768555,10.45234203338623,True,True,70,22.57042121887207,11.445775032043457,13.901515007019043,False,A,Fe
1192895,test,False,3.6891396045684814,1.9493814706802368,True,True,80,16.896766662597656,10.557317733764648,9.591682434082031,False,C,Dy
1193145,test,True,0.5174776911735535,1.9538778066635132,True,True,78,15.528151512145996,10.466678619384766,9.965222358703613,False,A,Fe
1193185,test,False,2.2580389976501465,14.088973999023438,True,True,60,12.709187507629395,9.102545738220215,9.90766429901123,False,C,Fe
1193306,test,True,1.924875259399414,0.27674102783203125,True,True,78,12.820658683776855,10.674415588378906,10.957560539245605,False,A,Fe
1193438,test,False,1.3651561737060547,11.31378173828125,True,True,64,10.752945899963379,9.053303718566895,9.914114952087402,False,C,Fe
1193500,test,False,3.3534631729125977,8.697361946105957,True,True,112,22.54372787475586,13.079968452453613,11.430890083312988,False,A,Fe
1194188,test,False,2.0224523544311523,14.857311248779297,True,True,60,14.073699951171875,11.706452369689941,9.75808048248291,False,C,Fe
1194329,test,False,2.7230453491210938,19.28775978088379,True,True,68,15.57693099975586,10.105112075805664,9.207816123962402,False,C,Fe
1194613,test,False,37.37569046020508,53.94941329956055,True,True,60,11.341912269592285,9.407817840576172,40.04140090942383,False,A,Fe
1194793,test,False,2.5155653953552246,20.538002014160156,True,True,64,12.131260871887207,9.391651153564453,8.353678703308105,False,C,Fe
1194812,test,False,5.4794416427612305,10.062024116516113,True,True,72,24.74004554748535,12.059215545654297,9.772013664245605,False,A,Fe
1194982,test,False,3.2792835235595703,20.221708297729492,True,True,84,23.044851303100586,12.069989204406738,11.405621528625488,False,C,Fe
1196389,test,False,10.478883743286133,15.546269416809082,True,True,70,10.006476402282715,9.491761207580566,14.084080696105957,False,A,Ti
1196503,test,True,0.25971072912216187,0.04583994671702385,True,True,72,14.376520156860352,10.170313835144043,9.970601081848145,False,A,Fe
1196537,test,False,11.914212226867676,16.928998947143555,True,True,72,31.372314453125,15.114531517028809,9.761536598205566,False,A,Fe
1197443,test,False,0.9306750297546387,9.979949951171875,True,True,72,15.955734252929688,10.10113525390625,10.061195373535156,False,A,Fe
1197869,test,False,0.9777045845985413,26.95107078552246,True,True,68,10.834905624389648,9.245762825012207,9.993725776672363,False,A,Fe
1198412,test,False,1.5674713850021362,11.109001159667969,True,True,72,14.5257568359375,9.93769645690918,10.46383285522461,False,A,Fe
1198676,test,False,2.224043846130371,34.37753677368164,True,True,64,11.661910057067871,9.329195976257324,10.56087589263916,False,A,Fe
1198805,test,False,9.786073684692383,56.163089752197266,True,True,64,11.225564002990723,9.501476287841797,19.164648056030273,False,A,Fe
1199115,test,False,10.906989097595215,10.098320007324219,True,True,64,30.310354232788086,13.89620590209961,9.434686660766602,False,A,Fe
1199146,test,False,0.6337791085243225,16.94207191467285,True,True,72,11.913463592529297,10.065718650817871,10.247099876403809,False,A,Fe
1199147,test,True,0.9596194624900818,3.9927737712860107,True,True,64,11.46578311920166,10.567530632019043,10.510631561279297,False,C,Fe
1199561,test,False,8.525443077087402,19.666746139526367,True,True,70,15.255428314208984,9.921746253967285,13.961577415466309,False,C,Fe
1199651,test,False,2.5315473079681396,8.711161613464355,True,True,64,14.573006629943848,9.72522258758545,8.86798095703125,False,A,Fe
1201385,test,True,0.7557718753814697,4.640785217285156,True,True,72,12.140952110290527,9.937403678894043,10.091655731201172,False,C,Fe
1201515,test,False,3.860938549041748,0.1475270539522171,True,True,72,9.944587707519531,9.878074645996094,10.093354225158691,False,C,Fe
1201732,test,False,10.81293773651123,4.916536808013916,True,True,64,30.165096282958984,14.46574878692627,12.508476257324219,False,C,Fe
1201743,test,False,74.0859146118164,74.38436126708984,True,True,72,137.78033447265625,61.75455093383789,9.467859268188477,False,A,Fe
1202257,test,False,1.463750958442688,8.15156078338623,True,True,72,14.117486000061035,9.912464141845703,10.474716186523438,False,B,Fe
1202735,test,False,1.391144871711731,14.677482604980469,True,True,72,10.770550727844238,9.867977142333984,9.800232887268066,False,A,Fe
1203139,test,False,1125.3095703125,73.1717758178711,True,True,72,1956.07861328125,742.1276245117188,10.215346336364746,False,A,Cu
1210021,test,True,1.0732266902923584,5.191739559173584,True,True,84,21.94044303894043,13.685325622558594,13.01739501953125,False,C,Fe
1210226,test,False,3.8797168731689453,22.41057777404785,True,True,72,18.003814697265625,11.310134887695312,9.548755645751953,False,B,Fe
1210320,test,False,1.6814045906066895,25.047101974487305,True,True,72,10.074410438537598,10.050079345703125,10.097915649414062,False,A,Fe
1210561,test,False,4.151211261749268,23.350679397583008,True,True,66,15.547503471374512,13.464244842529297,10.158059120178223,False,A,Fe
1210895,test,False,1.312771201133728,19.737634658813477,True,True,72,15.007238388061523,9.877180099487305,10.225229263305664,False,A,Fe
1212014,test,False,0.4038865268230438,38.99766540527344,True,True,64,12.214570999145508,9.892168998718262,10.20002269744873,False,A,Cu
1212650,test,True,0.22334757447242737,2.5311405658721924,True,True,100,13.021044731140137,10.577427864074707,10.515106201171875,False,C,Co
1212776,test,False,1.028807520866394,9.961920738220215,True,True,84,18.323659896850586,11.48043155670166,11.186058044433594,False,C,Fe
1213032,test,False,1611.184326171875,84.3456802368164,True,True,66,2648.636962890625,1322.4691162109375,9.869333267211914,False,A,Fe
1213332,test,False,3.746565818786621,0.24542491137981415,True,True,84,16.97247314453125,10.937726020812988,9.663835525512695,False,C,Cu
1213446,test,False,33.517024993896484,65.34925079345703,True,True,66,62.72469711303711,39.76278305053711,9.894329071044922,False,A,Fe
1214741,test,False,3.011146306991577,32.898311614990234,True,True,60,12.002670288085938,9.894072532653809,9.484502792358398,False,A,Fe
1215165,test,False,8.57159423828125,43.792964935302734,True,True,70,15.470495223999023,10.412724494934082,14.001250267028809,False,A,Fe
1215741,test,True,0.24511122703552246,0.6786575317382812,True,True,72,11.370307922363281,9.773049354553223,9.73581600189209,False,C,Fe
1217051,test,False,5.3764753341674805,15.4246826171875,True,True,72,10.106790542602539,9.367530822753906,11.413836479187012,False,A,Fe
1217154,test,True,0.5178680419921875,0.0791066512465477,True,True,64,10.593503952026367,8.788008689880371,9.293516159057617,False,C,Bi
1217235,test,False,2.6093223094940186,8.265296936035156,True,True,104,14.766953468322754,10.869370460510254,10.515793800354004,False,A,Bi
1217726,test,False,7.924186706542969,19.973180770874023,True,True,70,16.325607299804688,10.349093437194824,13.843521118164062,False,A,Fe
1217736,test,False,0.621617317199707,7.971407413482666,True,True,72,13.855957984924316,10.349305152893066,10.773811340332031,False,A,Fe
1218104,test,True,2.2550292015075684,2.145451784133911,True,True,84,11.622200965881348,10.022046089172363,10.916339874267578,False,C,Fe
1218295,test,False,0.1428229808807373,20.766572952270508,True,True,72,17.686676025390625,10.956623077392578,10.925007820129395,False,A,Bi
1218341,test,False,10.236292839050293,20.773069381713867,True,True,60,12.561020851135254,9.1419038772583,14.48248291015625,False,C,Fe
1218438,test,True,0.42428621649742126,3.01385760307312,True,True,72,15.135356903076172,10.274109840393066,10.12433910369873,False,A,Fe
1218649,test,False,1.5580278635025024,9.879684448242188,True,True,78,19.09543228149414,12.073527336120605,12.156303405761719,False,A,Cu
1218774,test,False,2.788076162338257,30.91857147216797,True,True,60,8.892258644104004,8.579062461853027,9.695311546325684,False,A,Bi
1218833,test,False,2.219139337539673,28.091665267944336,True,True,72,15.328898429870605,10.664750099182129,11.2289457321167,False,A,Co
1218897,test,False,3.4902126789093018,3.7650527954101562,True,True,84,10.710975646972656,10.00973129272461,10.97744083404541,True,A,Mg
1218929,test,False,1165.946044921875,62.13631057739258,True,True,70,1639.1741943359375,1112.73486328125,13.811888694763184,False,A,Fe
1219235,test,False,1.0053058862686157,32.185115814208984,True,True,88,15.443235397338867,11.503758430480957,10.87827205657959,False,A,Fe
1219314,test,False,38.63079071044922,60.8314208984375,True,True,64,77.15740966796875,34.052703857421875,9.20468521118164,False,C,Co
1219412,test,False,4.477743625640869,5.666127681732178,True,True,112,19.07729721069336,12.485127449035645,11.21619701385498,False,C,Fe
1221002,test,False,1.337091088294983,33.270137786865234,True,True,112,18.90244483947754,12.37981128692627,11.985173225402832,False,C,Fe
1221058,test,True,0.17441989481449127,1.2489852905273438,True,True,84,17.756778717041016,11.012959480285645,11.048884391784668,False,A,Fe
1221128,test,False,1736.14404296875,82.32410430908203,True,True,66,2758.242431640625,1501.7381591796875,9.078333854675293,False,C,Fe
1221133,test,False,1327.3763427734375,97.68386840820312,True,True,84,2090.836181640625,1165.8507080078125,10.373069763183594,False,C,Fe
1221194,test,False,5.025447368621826,5.292429447174072,True,True,60,15.6837797164917,10.000194549560547,11.714725494384766,False,A,Fe
1221399,test,False,2.0067648887634277,17.456361770629883,True,True,72,11.481450080871582,10.022412300109863,9.939038276672363,False,A,Fe
1221814,test,False,1.3391939401626587,17.92563819885254,True,True,76,17.24676513671875,11.369420051574707,11.09090518951416,False,A,Fe
1221840,test,False,5.002087593078613,23.93406867980957,True,True,60,11.616450309753418,9.882004737854004,10.359018325805664,False,A,Fe
1221853,test,False,2.6348507404327393,6.1466827392578125,True,True,112,16.42732810974121,12.006991386413574,11.139793395996094,False,A,Fe
1221861,test,False,1.052087664604187,5.642604827880859,True,True,72,16.877721786499023,11.315292358398438,12.312397956848145,False,A,Fe
1221879,test,False,1.370438814163208,24.884857177734375,True,True,66,15.183148384094238,10.012924194335938,9.533289909362793,False,A,Fe
1221997,test,False,6.270841598510742,18.43895149230957,True,True,84,13.060492515563965,10.307814598083496,13.600560188293457,False,A,Fe
1222302,test,False,1.178372859954834,24.939599990844727,True,True,112,16.03753089904785,11.487945556640625,12.6624755859375,False,A,Fe
