folder_name,mp_id,element,site_id,is_ionic,source_path,quality_tier
mp_26054_LiFe2PO43__feff_Fe_site_01,26054,Fe,01,False,C:\Users\T-Cat\Desktop\XAS-FeO\site_dataset\mp_26054_LiFe2PO43__feff_Fe_site_01,A
mp_551451_FeBiO3__feff_Fe_site_01,551451,Fe,01,False,C:\Users\T-Cat\Desktop\XAS-FeO\site_dataset\mp_551451_FeBiO3__feff_Fe_site_01,C
mp_554531_Li11La12Fe3O28__feff_Fe_site_01,554531,Fe,01,False,C:\Users\T-Cat\Desktop\XAS-FeO\site_dataset\mp_554531_Li11La12Fe3O28__feff_Fe_site_01,A
mp_569961_Sr8Mn2FeN8__feff_Fe_site_01,569961,Fe,01,False,C:\Users\T-Cat\Desktop\XAS-FeO\site_dataset\mp_569961_Sr8Mn2FeN8__feff_Fe_site_01,C
mp_675126_FeCO3__feff_Fe_site_01,675126,Fe,01,False,C:\Users\T-Cat\Desktop\XAS-FeO\site_dataset\mp_675126_FeCO3__feff_Fe_site_01,A
mp_694564_Li2FePO38__feff_Fe_site_01,694564,Fe,01,False,C:\Users\T-Cat\Desktop\XAS-FeO\site_dataset\mp_694564_Li2FePO38__feff_Fe_site_01,A
mp_698793_Ba5SrLa2Fe4O15__feff_Fe_site_01,698793,Fe,01,False,C:\Users\T-Cat\Desktop\XAS-FeO\site_dataset\mp_698793_Ba5SrLa2Fe4O15__feff_Fe_site_01,C
mp_752456_Fe2OF3__feff_Fe_site_01,752456,Fe,01,False,C:\Users\T-Cat\Desktop\XAS-FeO\site_dataset\mp_752456_Fe2OF3__feff_Fe_site_01,A
mp_752847_Li4Fe3OF32__feff_Fe_site_01,752847,Fe,01,False,C:\Users\T-Cat\Desktop\XAS-FeO\site_dataset\mp_752847_Li4Fe3OF32__feff_Fe_site_01,A
mp_753042_Fe4OF7__feff_Fe_site_01,753042,Fe,01,False,C:\Users\T-Cat\Desktop\XAS-FeO\site_dataset\mp_753042_Fe4OF7__feff_Fe_site_01,A
mp_753068_LiFe2OF5__feff_Fe_site_01,753068,Fe,01,False,C:\Users\T-Cat\Desktop\XAS-FeO\site_dataset\mp_753068_LiFe2OF5__feff_Fe_site_01,A
mp_753321_LiFePO4__feff_Fe_site_01,753321,Fe,01,False,C:\Users\T-Cat\Desktop\XAS-FeO\site_dataset\mp_753321_LiFePO4__feff_Fe_site_01,A
mp_754129_Li3CrFeO24__feff_Fe_site_01,754129,Fe,01,False,C:\Users\T-Cat\Desktop\XAS-FeO\site_dataset\mp_754129_Li3CrFeO24__feff_Fe_site_01,C
mp_755069_LiAl2FeO6__feff_Fe_site_01,755069,Fe,01,False,C:\Users\T-Cat\Desktop\XAS-FeO\site_dataset\mp_755069_LiAl2FeO6__feff_Fe_site_01,A
mp_755145_Fe6O7F5__feff_Fe_site_01,755145,Fe,01,False,C:\Users\T-Cat\Desktop\XAS-FeO\site_dataset\mp_755145_Fe6O7F5__feff_Fe_site_01,A
mp_755187_Fe6O5F7__feff_Fe_site_01,755187,Fe,01,False,C:\Users\T-Cat\Desktop\XAS-FeO\site_dataset\mp_755187_Fe6O5F7__feff_Fe_site_01,C
mp_755195_Fe3O5F__feff_Fe_site_01,755195,Fe,01,False,C:\Users\T-Cat\Desktop\XAS-FeO\site_dataset\mp_755195_Fe3O5F__feff_Fe_site_01,A
mp_756539_CdFeO22__feff_Fe_site_01,756539,Fe,01,False,C:\Users\T-Cat\Desktop\XAS-FeO\site_dataset\mp_756539_CdFeO22__feff_Fe_site_01,A
mp_756955_Li3Fe3O8__feff_Fe_site_01,756955,Fe,01,False,C:\Users\T-Cat\Desktop\XAS-FeO\site_dataset\mp_756955_Li3Fe3O8__feff_Fe_site_01,B
mp_757088_Li4Fe7OF72__feff_Fe_site_01,757088,Fe,01,False,C:\Users\T-Cat\Desktop\XAS-FeO\site_dataset\mp_757088_Li4Fe7OF72__feff_Fe_site_01,C
mp_758909_LiFePO4__feff_Fe_site_01,758909,Fe,01,False,C:\Users\T-Cat\Desktop\XAS-FeO\site_dataset\mp_758909_LiFePO4__feff_Fe_site_01,C
mp_759033_LiFePO34__feff_Fe_site_01,759033,Fe,01,False,C:\Users\T-Cat\Desktop\XAS-FeO\site_dataset\mp_759033_LiFePO34__feff_Fe_site_01,C
mp_759070_Li4Fe3P3O12F__feff_Fe_site_01,759070,Fe,01,False,C:\Users\T-Cat\Desktop\XAS-FeO\site_dataset\mp_759070_Li4Fe3P3O12F__feff_Fe_site_01,A
mp_759490_FeOF__feff_Fe_site_01,759490,Fe,01,False,C:\Users\T-Cat\Desktop\XAS-FeO\site_dataset\mp_759490_FeOF__feff_Fe_site_01,B
mp_764707_Li3MnFeCoPO43__feff_Fe_site_01,764707,Fe,01,False,C:\Users\T-Cat\Desktop\XAS-FeO\site_dataset\mp_764707_Li3MnFeCoPO43__feff_Fe_site_01,C
mp_765583_Ti2Fe4O9__feff_Fe_site_01,765583,Fe,01,False,C:\Users\T-Cat\Desktop\XAS-FeO\site_dataset\mp_765583_Ti2Fe4O9__feff_Fe_site_01,A
mp_766696_Li3FePCO7__feff_Fe_site_01,766696,Fe,01,False,C:\Users\T-Cat\Desktop\XAS-FeO\site_dataset\mp_766696_Li3FePCO7__feff_Fe_site_01,A
mp_766960_Li11Fe12BO312__feff_Fe_site_01,766960,Fe,01,False,C:\Users\T-Cat\Desktop\XAS-FeO\site_dataset\mp_766960_Li11Fe12BO312__feff_Fe_site_01,C
mp_768375_CrFe5PO46__feff_Fe_site_01,768375,Fe,01,False,C:\Users\T-Cat\Desktop\XAS-FeO\site_dataset\mp_768375_CrFe5PO46__feff_Fe_site_01,A
mp_775215_Li10Cr3Fe3NiO82__feff_Fe_site_01,775215,Fe,01,False,C:\Users\T-Cat\Desktop\XAS-FeO\site_dataset\mp_775215_Li10Cr3Fe3NiO82__feff_Fe_site_01,A
mp_776318_Li2FeNi3O8__feff_Fe_site_01,776318,Fe,01,False,C:\Users\T-Cat\Desktop\XAS-FeO\site_dataset\mp_776318_Li2FeNi3O8__feff_Fe_site_01,A
mp_777721_Li2Fe3WO8__feff_Fe_site_01,777721,Fe,01,False,C:\Users\T-Cat\Desktop\XAS-FeO\site_dataset\mp_777721_Li2Fe3WO8__feff_Fe_site_01,B
mp_778265_Li4Mn3FeBO34__feff_Fe_site_01,778265,Fe,01,False,C:\Users\T-Cat\Desktop\XAS-FeO\site_dataset\mp_778265_Li4Mn3FeBO34__feff_Fe_site_01,A
mp_849952_LiFe4BO34__feff_Fe_site_01,849952,Fe,01,False,C:\Users\T-Cat\Desktop\XAS-FeO\site_dataset\mp_849952_LiFe4BO34__feff_Fe_site_01,A
mp_850743_Li8MnFe7BO38__feff_Fe_site_01,850743,Fe,01,False,C:\Users\T-Cat\Desktop\XAS-FeO\site_dataset\mp_850743_Li8MnFe7BO38__feff_Fe_site_01,A
mp_861176_Li2FePO5__feff_Fe_site_01,861176,Fe,01,False,C:\Users\T-Cat\Desktop\XAS-FeO\site_dataset\mp_861176_Li2FePO5__feff_Fe_site_01,C
mp_997553_Fe4O7F__feff_Fe_site_01,997553,Fe,01,False,C:\Users\T-Cat\Desktop\XAS-FeO\site_dataset\mp_997553_Fe4O7F__feff_Fe_site_01,A
