mp_id,formula,folder_name,prim_n_atoms
mp_735701,KFe3P8H11O182_,mp_735701_KFe3P8H11O182__feff_Fe_site_01,140
mp_651106,FeSb2WC8Se2O2F34_,mp_651106_FeSb2WC8Se2O2F34__feff_Fe_site_01,136
mp_1200389,Fe7Sb3P3ClO63_,mp_1200389_Fe7Sb3P3ClO63__feff_Fe_site_01,136
mp_764827,Fe2CuAs2HO52_,mp_764827_Fe2CuAs2HO52__feff_Fe_site_01,136
mp_1213596,Fe2WO43_,mp_1213596_Fe2WO43__feff_Fe_site_01,136
mp_1194614,FeH20C8NCl4_,mp_1194614_FeH20C8NCl4__feff_Fe_site_01,136
mp_705435,Fe2MoO43_,mp_705435_Fe2MoO43__feff_Fe_site_01,136
mp_704851,Fe2MoO43_,mp_704851_Fe2MoO43__feff_Fe_site_01,136
mp_1197479,Fe7Sb3P3BrO63_,mp_1197479_Fe7Sb3P3BrO63__feff_Fe_site_01,136
mp_745200,Fe2P2H4NO8_,mp_745200_Fe2P2H4NO8__feff_Fe_site_01,136
mp_1182833,Fe2P2H4NO8_,mp_1182833_Fe2P2H4NO8__feff_Fe_site_01,136
mp_1182219,Li4FeC6ClO21_,mp_1182219_Li4FeC6ClO21__feff_Fe_site_01,132
mp_1205160,Rb9Fe7PO410_,mp_1205160_Rb9Fe7PO410__feff_Fe_site_01,132
mp_1202597,Na3FeSO53_,mp_1202597_Na3FeSO53__feff_Fe_site_01,132
mp_1201806,FeH21C7S3N_,mp_1201806_FeH21C7S3N__feff_Fe_site_01,132
mp_1205261,Li4FeC6ClO21_,mp_1205261_Li4FeC6ClO21__feff_Fe_site_01,132
mp_759270,Li5FeSiO42_,mp_759270_Li5FeSiO42__feff_Fe_site_01,128
mp_583509,Ba5FeS29,mp_583509_Ba5FeS29_feff_Fe_site_04,128
mp_583509,Ba5FeS29,mp_583509_Ba5FeS29_feff_Fe_site_01,128
mp_583509,Ba5FeS29,mp_583509_Ba5FeS29_feff_Fe_site_02,128
mp_581532,Cs3Fe4PO45_,mp_581532_Cs3Fe4PO45__feff_Fe_site_01,128
mp_680207,Gd2FeB7,mp_680207_Gd2FeB7_feff_Fe_site_03,128
mp_680207,Gd2FeB7,mp_680207_Gd2FeB7_feff_Fe_site_01,128
mp_583509,Ba5FeS29,mp_583509_Ba5FeS29_feff_Fe_site_05,128
mp_28640,K2FeF5,mp_28640_K2FeF5_feff_Fe_site_02,128
mp_24447,FeCoH18NCl6_,mp_24447_FeCoH18NCl6__feff_Fe_site_01,128
mp_28640,K2FeF5,mp_28640_K2FeF5_feff_Fe_site_01,128
mp_24117,CrFeH18NF6_,mp_24117_CrFeH18NF6__feff_Fe_site_01,128
mp_680207,Gd2FeB7,mp_680207_Gd2FeB7_feff_Fe_site_04,128
mp_680207,Gd2FeB7,mp_680207_Gd2FeB7_feff_Fe_site_05,128
mp_680207,Gd2FeB7,mp_680207_Gd2FeB7_feff_Fe_site_06,128
mp_680207,Gd2FeB7,mp_680207_Gd2FeB7_feff_Fe_site_07,128
mp_680207,Gd2FeB7,mp_680207_Gd2FeB7_feff_Fe_site_02,128
mp_1207884,ZnFePO5_,mp_1207884_ZnFePO5__feff_Fe_site_01,128
mp_583509,Ba5FeS29,mp_583509_Ba5FeS29_feff_Fe_site_03,128
mp_554621,K2FeF5,mp_554621_K2FeF5_feff_Fe_site_02,128
mp_757582,Li4FeP2O9_,mp_757582_Li4FeP2O9__feff_Fe_site_01,128
mp_554621,K2FeF5,mp_554621_K2FeF5_feff_Fe_site_03,128
mp_554621,K2FeF5,mp_554621_K2FeF5_feff_Fe_site_04,128
mp_554621,K2FeF5,mp_554621_K2FeF5_feff_Fe_site_01,128
mp_707411,Zn3Fe15Cu39Ge3S322,mp_707411_Zn3Fe15Cu39Ge3S322_feff_Fe_site_07,127
mp_707411,Zn3Fe15Cu39Ge3S322,mp_707411_Zn3Fe15Cu39Ge3S322_feff_Fe_site_14,127
mp_707411,Zn3Fe15Cu39Ge3S322,mp_707411_Zn3Fe15Cu39Ge3S322_feff_Fe_site_06,127
mp_707411,Zn3Fe15Cu39Ge3S322,mp_707411_Zn3Fe15Cu39Ge3S322_feff_Fe_site_11,127
mp_707411,Zn3Fe15Cu39Ge3S322,mp_707411_Zn3Fe15Cu39Ge3S322_feff_Fe_site_10,127
mp_707411,Zn3Fe15Cu39Ge3S322,mp_707411_Zn3Fe15Cu39Ge3S322_feff_Fe_site_09,127
mp_707411,Zn3Fe15Cu39Ge3S322,mp_707411_Zn3Fe15Cu39Ge3S322_feff_Fe_site_08,127
mp_707411,Zn3Fe15Cu39Ge3S322,mp_707411_Zn3Fe15Cu39Ge3S322_feff_Fe_site_15,127
mp_707411,Zn3Fe15Cu39Ge3S322,mp_707411_Zn3Fe15Cu39Ge3S322_feff_Fe_site_02,127
mp_707411,Zn3Fe15Cu39Ge3S322,mp_707411_Zn3Fe15Cu39Ge3S322_feff_Fe_site_01,127
mp_707411,Zn3Fe15Cu39Ge3S322,mp_707411_Zn3Fe15Cu39Ge3S322_feff_Fe_site_12,127
mp_707411,Zn3Fe15Cu39Ge3S322,mp_707411_Zn3Fe15Cu39Ge3S322_feff_Fe_site_13,127
mp_707411,Zn3Fe15Cu39Ge3S322,mp_707411_Zn3Fe15Cu39Ge3S322_feff_Fe_site_05,127
mp_707411,Zn3Fe15Cu39Ge3S322,mp_707411_Zn3Fe15Cu39Ge3S322_feff_Fe_site_03,127
mp_707411,Zn3Fe15Cu39Ge3S322,mp_707411_Zn3Fe15Cu39Ge3S322_feff_Fe_site_04,127
mp_1196071,Ba2Fe2O5_,mp_1196071_Ba2Fe2O5__feff_Fe_site_01,126
mp_1100888,ZnFe2O34_,mp_1100888_ZnFe2O34__feff_Fe_site_01,126
mp_654312,Ba2Fe2O5_,mp_654312_Ba2Fe2O5__feff_Fe_site_01,126
