folder_name,folder_path,mp_id,formula,site_nn,has_chi1,has_xmu,has_poscar,chi_diff_std,chi_zero_cross,chi1_valid,chi1_reason,xmu_valid,xmu_reason
mp_1018074_GaFeNi2_feff_Fe_site_01,C:\Users\T-Cat\Desktop\DiffCSP-main\site_dataset_Fe_only_oxide_one_site\mp_1018074_GaFeNi2_feff_Fe_site_01,mp_1018074,GaFeNi2,01,True,True,True,0.07124768493908071,40,True,ok,True,ok
mp_1018075_FeSe_feff_Fe_site_01,C:\Users\T-Cat\Desktop\DiffCSP-main\site_dataset_Fe_only_oxide_one_site\mp_1018075_FeSe_feff_Fe_site_01,mp_1018075,FeSe,01,True,True,True,0.08983936976796032,38,True,ok,True,ok
mp_1018081_CrFe3_feff_Fe_site_01,C:\Users\T-Cat\Desktop\DiffCSP-main\site_dataset_Fe_only_oxide_one_site\mp_1018081_CrFe3_feff_Fe_site_01,mp_1018081,CrFe3,01,True,True,True,0.09362914591665047,37,True,ok,True,ok
mp_1018081_CrFe3_feff_Fe_site_02,C:\Users\T-Cat\Desktop\DiffCSP-main\site_dataset_Fe_only_oxide_one_site\mp_1018081_CrFe3_feff_Fe_site_02,mp_1018081,CrFe3,02,True,True,True,0.09362916203855905,37,True,ok,True,ok
mp_1018176_GdFeC2__feff_Fe_site_01,C:\Users\T-Cat\Desktop\DiffCSP-main\site_dataset_Fe_only_oxide_one_site\mp_1018176_GdFeC2__feff_Fe_site_01,mp_1018176,GdFeC2_,01,True,True,True,0.09229916402840097,33,True,ok,True,ok
mp_1018725_HoFeSi_feff_Fe_site_01,C:\Users\T-Cat\Desktop\DiffCSP-main\site_dataset_Fe_only_oxide_one_site\mp_1018725_HoFeSi_feff_Fe_site_01,mp_1018725,HoFeSi,01,True,True,True,0.10657981610774205,32,True,ok,True,ok
mp_1018785_LiFeAs_feff_Fe_site_01,C:\Users\T-Cat\Desktop\DiffCSP-main\site_dataset_Fe_only_oxide_one_site\mp_1018785_LiFeAs_feff_Fe_site_01,mp_1018785,LiFeAs,01,True,True,True,0.07317365493351821,32,True,ok,True,ok
mp_1018895_PrFeSi_feff_Fe_site_01,C:\Users\T-Cat\Desktop\DiffCSP-main\site_dataset_Fe_only_oxide_one_site\mp_1018895_PrFeSi_feff_Fe_site_01,mp_1018895,PrFeSi,01,True,True,True,0.12384198371899507,38,True,ok,True,ok
mp_10188_Fe3S4_feff_Fe_site_01,C:\Users\T-Cat\Desktop\DiffCSP-main\site_dataset_Fe_only_oxide_one_site\mp_10188_Fe3S4_feff_Fe_site_01,mp_10188,Fe3S4,01,True,True,True,0.08758756424485657,39,True,ok,True,ok
mp_10188_Fe3S4_feff_Fe_site_02,C:\Users\T-Cat\Desktop\DiffCSP-main\site_dataset_Fe_only_oxide_one_site\mp_10188_Fe3S4_feff_Fe_site_02,mp_10188,Fe3S4,02,True,True,True,0.09803085999496253,37,True,ok,True,ok
mp_10188_Fe3S4_feff_Fe_site_03,C:\Users\T-Cat\Desktop\DiffCSP-main\site_dataset_Fe_only_oxide_one_site\mp_10188_Fe3S4_feff_Fe_site_03,mp_10188,Fe3S4,03,True,True,True,0.09992150461619069,38,True,ok,True,ok
mp_1019100_SmFeSi_feff_Fe_site_01,C:\Users\T-Cat\Desktop\DiffCSP-main\site_dataset_Fe_only_oxide_one_site\mp_1019100_SmFeSi_feff_Fe_site_01,mp_1019100,SmFeSi,01,True,True,True,0.09466964218719494,33,True,ok,True,ok
mp_1021504_Ba2NbFeO6__feff_Fe_site_01,C:\Users\T-Cat\Desktop\DiffCSP-main\site_dataset_Fe_only_oxide_one_site\mp_1021504_Ba2NbFeO6__feff_Fe_site_01,mp_1021504,Ba2NbFeO6_,01,True,True,True,0.08297068482187334,35,True,ok,True,ok
mp_1021509_CeFeAs34_feff_Fe_site_01,C:\Users\T-Cat\Desktop\DiffCSP-main\site_dataset_Fe_only_oxide_one_site\mp_1021509_CeFeAs34_feff_Fe_site_01,mp_1021509,CeFeAs34,01,True,True,True,0.09232471830472043,31,True,ok,True,ok
mp_1021509_CeFeAs34_feff_Fe_site_02,C:\Users\T-Cat\Desktop\DiffCSP-main\site_dataset_Fe_only_oxide_one_site\mp_1021509_CeFeAs34_feff_Fe_site_02,mp_1021509,CeFeAs34,02,True,True,True,0.09233377776340868,31,True,ok,True,ok
mp_1021950_BaNb2FeO34__feff_Fe_site_01,C:\Users\T-Cat\Desktop\DiffCSP-main\site_dataset_Fe_only_oxide_one_site\mp_1021950_BaNb2FeO34__feff_Fe_site_01,mp_1021950,BaNb2FeO34_,01,True,True,True,0.039968815568858326,31,True,ok,True,ok
mp_1022117_Mg6FeBi_feff_Fe_site_01,C:\Users\T-Cat\Desktop\DiffCSP-main\site_dataset_Fe_only_oxide_one_site\mp_1022117_Mg6FeBi_feff_Fe_site_01,mp_1022117,Mg6FeBi,01,True,True,True,0.11236145564605486,39,True,ok,True,ok
mp_1022127_HfMg6Fe_feff_Fe_site_01,C:\Users\T-Cat\Desktop\DiffCSP-main\site_dataset_Fe_only_oxide_one_site\mp_1022127_HfMg6Fe_feff_Fe_site_01,mp_1022127,HfMg6Fe,01,True,True,True,0.0822103568468346,46,True,ok,True,ok
mp_1022130_Mg6FeSb_feff_Fe_site_01,C:\Users\T-Cat\Desktop\DiffCSP-main\site_dataset_Fe_only_oxide_one_site\mp_1022130_Mg6FeSb_feff_Fe_site_01,mp_1022130,Mg6FeSb,01,True,True,True,0.0813306941446968,34,True,ok,True,ok
mp_1022132_Mg6FeSb_feff_Fe_site_01,C:\Users\T-Cat\Desktop\DiffCSP-main\site_dataset_Fe_only_oxide_one_site\mp_1022132_Mg6FeSb_feff_Fe_site_01,mp_1022132,Mg6FeSb,01,True,True,True,0.09694069883706753,33,True,ok,True,ok
mp_1022136_HfMg6Fe_feff_Fe_site_01,C:\Users\T-Cat\Desktop\DiffCSP-main\site_dataset_Fe_only_oxide_one_site\mp_1022136_HfMg6Fe_feff_Fe_site_01,mp_1022136,HfMg6Fe,01,True,True,True,0.10054463910801248,38,True,ok,True,ok
mp_1022157_RbMg6Fe_feff_Fe_site_01,C:\Users\T-Cat\Desktop\DiffCSP-main\site_dataset_Fe_only_oxide_one_site\mp_1022157_RbMg6Fe_feff_Fe_site_01,mp_1022157,RbMg6Fe,01,True,True,True,0.12334804249340373,43,True,ok,True,ok
mp_1022159_Mg6CdFe_feff_Fe_site_01,C:\Users\T-Cat\Desktop\DiffCSP-main\site_dataset_Fe_only_oxide_one_site\mp_1022159_Mg6CdFe_feff_Fe_site_01,mp_1022159,Mg6CdFe,01,True,True,True,0.08979175536608537,42,True,ok,True,ok
