folder_name,folder_path,mp_id,formula,site_nn,has_chi1,has_xmu,has_poscar,chi_std,chi1_valid,chi1_reason,xmu_valid,xmu_reason
mp_1018081_CrFe3_feff_Fe_site_01,C:\Users\T-Cat\Desktop\DiffCSP-main\site_dataset_Fe_only_oxide_one_site\mp_1018081_CrFe3_feff_Fe_site_01,mp_1018081,CrFe3,01,True,True,True,0.41253770506419646,True,ok,True,ok
mp_1018081_CrFe3_feff_Fe_site_02,C:\Users\T-Cat\Desktop\DiffCSP-main\site_dataset_Fe_only_oxide_one_site\mp_1018081_CrFe3_feff_Fe_site_02,mp_1018081,CrFe3,02,True,True,True,0.41253773192059184,True,ok,True,ok
mp_1018176_GdFeC2__feff_Fe_site_01,C:\Users\T-Cat\Desktop\DiffCSP-main\site_dataset_Fe_only_oxide_one_site\mp_1018176_GdFeC2__feff_Fe_site_01,mp_1018176,GdFeC2_,01,True,True,True,0.19516274842417408,True,ok,True,ok
mp_1018725_HoFeSi_feff_Fe_site_01,C:\Users\T-Cat\Desktop\DiffCSP-main\site_dataset_Fe_only_oxide_one_site\mp_1018725_HoFeSi_feff_Fe_site_01,mp_1018725,HoFeSi,01,True,True,True,0.18965433168902524,True,ok,True,ok
mp_1018785_LiFeAs_feff_Fe_site_01,C:\Users\T-Cat\Desktop\DiffCSP-main\site_dataset_Fe_only_oxide_one_site\mp_1018785_LiFeAs_feff_Fe_site_01,mp_1018785,LiFeAs,01,True,True,True,0.16631519440661074,True,ok,True,ok
mp_1018895_PrFeSi_feff_Fe_site_01,C:\Users\T-Cat\Desktop\DiffCSP-main\site_dataset_Fe_only_oxide_one_site\mp_1018895_PrFeSi_feff_Fe_site_01,mp_1018895,PrFeSi,01,True,True,True,0.181684039935399,True,ok,True,ok
mp_10188_Fe3S4_feff_Fe_site_01,C:\Users\T-Cat\Desktop\DiffCSP-main\site_dataset_Fe_only_oxide_one_site\mp_10188_Fe3S4_feff_Fe_site_01,mp_10188,Fe3S4,01,True,True,True,0.21358074187952256,True,ok,True,ok
mp_10188_Fe3S4_feff_Fe_site_02,C:\Users\T-Cat\Desktop\DiffCSP-main\site_dataset_Fe_only_oxide_one_site\mp_10188_Fe3S4_feff_Fe_site_02,mp_10188,Fe3S4,02,True,True,True,0.1579714198030132,True,ok,True,ok
mp_10188_Fe3S4_feff_Fe_site_03,C:\Users\T-Cat\Desktop\DiffCSP-main\site_dataset_Fe_only_oxide_one_site\mp_10188_Fe3S4_feff_Fe_site_03,mp_10188,Fe3S4,03,True,True,True,0.161100927396011,True,ok,True,ok
mp_1019100_SmFeSi_feff_Fe_site_01,C:\Users\T-Cat\Desktop\DiffCSP-main\site_dataset_Fe_only_oxide_one_site\mp_1019100_SmFeSi_feff_Fe_site_01,mp_1019100,SmFeSi,01,True,True,True,0.18982814955797003,True,ok,True,ok
mp_1021504_Ba2NbFeO6__feff_Fe_site_01,C:\Users\T-Cat\Desktop\DiffCSP-main\site_dataset_Fe_only_oxide_one_site\mp_1021504_Ba2NbFeO6__feff_Fe_site_01,mp_1021504,Ba2NbFeO6_,01,True,True,True,0.2708602272628659,True,ok,True,ok
