mp_id,formula,folder_name,folder_path,site_nn,total_sites,valid_sites,prim_n_atoms,prim_reason
mp_761244,LiFe2BO32_,mp_761244_LiFe2BO32__feff_Fe_site_01,C:\Users\T-Cat\Desktop\DiffCSP-main\site_dataset_Fe_only_oxide_one_site\mp_761244_LiFe2BO32__feff_Fe_site_01,1,1,1,44,ok
mp_761246,Li2MnFePO42_,mp_761246_Li2MnFePO42__feff_Fe_site_01,C:\Users\T-Cat\Desktop\DiffCSP-main\site_dataset_Fe_only_oxide_one_site\mp_761246_Li2MnFePO42__feff_Fe_site_01,1,1,1,28,ok
mp_761250,Li5FeO3F_,mp_761250_Li5FeO3F__feff_Fe_site_01,C:\Users\T-Cat\Desktop\DiffCSP-main\site_dataset_Fe_only_oxide_one_site\mp_761250_Li5FeO3F__feff_Fe_site_01,1,1,1,20,ok
mp_761253,Li5Fe8BO38_,mp_761253_Li5Fe8BO38__feff_Fe_site_01,C:\Users\T-Cat\Desktop\DiffCSP-main\site_dataset_Fe_only_oxide_one_site\mp_761253_Li5Fe8BO38__feff_Fe_site_01,1,1,1,45,ok
mp_761255,LiFe4BO34_,mp_761255_LiFe4BO34__feff_Fe_site_01,C:\Users\T-Cat\Desktop\DiffCSP-main\site_dataset_Fe_only_oxide_one_site\mp_761255_LiFe4BO34__feff_Fe_site_01,1,1,1,42,ok
mp_761256,LiFe4BO34_,mp_761256_LiFe4BO34__feff_Fe_site_01,C:\Users\T-Cat\Desktop\DiffCSP-main\site_dataset_Fe_only_oxide_one_site\mp_761256_LiFe4BO34__feff_Fe_site_01,1,1,1,42,ok
mp_761257,Li2Fe4OF8_,mp_761257_Li2Fe4OF8__feff_Fe_site_01,C:\Users\T-Cat\Desktop\DiffCSP-main\site_dataset_Fe_only_oxide_one_site\mp_761257_Li2Fe4OF8__feff_Fe_site_01,1,1,1,30,ok
mp_761265,LiFe4BO34_,mp_761265_LiFe4BO34__feff_Fe_site_01,C:\Users\T-Cat\Desktop\DiffCSP-main\site_dataset_Fe_only_oxide_one_site\mp_761265_LiFe4BO34__feff_Fe_site_01,1,1,1,42,ok
mp_761277,LiFe2BO32_,mp_761277_LiFe2BO32__feff_Fe_site_01,C:\Users\T-Cat\Desktop\DiffCSP-main\site_dataset_Fe_only_oxide_one_site\mp_761277_LiFe2BO32__feff_Fe_site_01,1,1,1,44,ok
mp_761278,Li5Fe8BO38_,mp_761278_Li5Fe8BO38__feff_Fe_site_01,C:\Users\T-Cat\Desktop\DiffCSP-main\site_dataset_Fe_only_oxide_one_site\mp_761278_Li5Fe8BO38__feff_Fe_site_01,1,1,1,45,ok
